millis,ldr_voltage,temp,hum,tvoc,eco2,prob0,prob1,prob2,AI_latency_us
263285,0.00,22.80,50.00,60.00,450.00,43,30,27,852
264285,0.00,22.80,50.00,60.00,450.00,43,30,27,802
265292,0.00,22.80,50.00,60.00,450.00,43,30,27,822
266293,0.00,22.80,50.00,60.00,450.00,43,30,27,800
267301,0.00,22.80,50.00,60.00,450.00,43,30,27,852
268301,0.00,22.80,50.00,60.00,450.00,43,30,27,815
269309,0.00,22.80,50.10,60.00,450.00,43,30,27,847
270309,0.00,22.80,50.10,60.00,450.00,43,30,27,803
271316,0.00,22.80,50.00,60.00,450.00,43,30,27,826
272317,0.00,22.80,50.00,60.00,450.00,43,30,27,781
273324,0.00,22.80,50.00,60.00,450.00,43,30,27,805
274325,0.01,22.80,50.00,60.00,450.00,43,30,27,816
275332,0.00,22.80,50.00,60.00,450.00,43,30,27,815
276333,0.00,22.80,50.00,60.00,450.00,43,30,27,821
277340,0.00,22.80,50.00,60.00,450.00,43,30,27,790
278341,0.00,22.80,50.00,60.00,450.00,43,30,27,812
279348,0.00,22.80,50.00,60.00,450.00,43,30,27,824
280350,0.00,22.80,50.00,60.00,450.00,43,30,27,830
281356,0.00,22.80,50.00,60.00,450.00,43,30,27,822
282358,0.00,22.80,50.00,60.00,450.00,43,30,27,842
283364,0.00,22.80,50.00,60.00,450.00,43,30,27,813
284366,0.00,22.80,50.00,60.00,450.00,43,30,27,828
285372,0.00,22.80,50.00,60.00,450.00,43,30,27,833
286374,0.00,22.80,50.00,60.00,450.00,43,30,27,842
287380,0.00,22.80,50.00,60.00,450.00,43,30,27,834
288382,0.00,22.80,50.00,60.00,450.00,43,30,27,832
289388,0.00,22.80,49.90,60.00,450.00,43,30,27,832
290390,0.00,22.80,49.90,60.00,450.00,43,30,27,842
291397,0.00,22.80,49.80,60.00,450.00,43,30,27,807
292397,0.00,22.80,49.80,60.00,450.00,43,30,27,776
293404,0.00,22.80,49.90,60.00,450.00,43,30,27,802
294405,0.00,22.80,49.90,60.00,450.00,43,30,27,827
295413,0.00,22.70,49.80,60.00,450.00,43,30,27,804
296414,0.00,22.70,49.80,60.00,450.00,43,30,27,840
297421,0.00,22.70,49.80,60.00,450.00,43,30,27,819
298421,0.00,22.70,49.80,60.00,450.00,43,30,27,815
299429,0.00,22.70,49.80,60.00,450.00,43,30,27,815
300430,0.00,22.70,49.80,60.00,450.00,43,30,27,837
301437,0.00,22.70,49.80,60.00,450.00,43,30,27,845
302437,0.00,22.70,49.80,60.00,450.00,43,30,27,817
303445,0.00,22.70,49.80,60.00,450.00,43,30,27,814
304445,0.00,22.70,49.80,60.00,450.00,43,30,27,820
305453,0.02,22.70,49.70,60.00,450.00,43,30,27,830
306453,0.00,22.70,49.70,60.00,450.00,43,30,27,807
307461,0.00,22.70,49.70,60.00,450.00,43,30,27,818
308461,0.00,22.70,49.70,60.00,450.00,43,30,27,821
309469,0.00,22.70,49.80,60.00,450.00,43,30,27,828
310469,0.00,22.70,49.80,60.00,450.00,43,30,27,809
311477,0.00,22.70,49.70,60.00,450.00,43,30,27,812
312477,0.00,22.70,49.70,60.00,450.00,43,30,27,788
313484,0.00,22.70,49.80,60.00,450.00,43,30,27,785
314485,0.00,22.70,49.80,60.00,450.00,43,30,27,813
315493,0.00,22.70,49.70,60.00,450.00,43,30,27,811
316493,0.00,22.70,49.70,60.00,450.00,43,30,27,828
317501,0.00,22.70,49.80,60.00,450.00,43,30,27,821
318501,0.00,22.70,49.80,60.00,450.00,43,30,27,791
319509,0.00,22.70,49.80,60.00,450.00,43,30,27,796
320509,0.00,22.70,49.80,60.00,450.00,43,30,27,801
321517,0.00,22.70,49.80,60.00,450.00,43,30,27,824
322517,0.00,22.70,49.80,60.00,450.00,43,30,27,818
323525,0.00,22.70,49.80,60.00,450.00,43,30,27,819
324525,0.00,22.70,49.80,60.00,450.00,43,30,27,815
325533,0.00,22.70,49.80,60.00,450.00,43,30,27,828
326533,0.00,22.70,49.80,60.00,450.00,43,30,27,821
327541,0.00,22.70,49.80,60.00,450.00,43,30,27,822
328541,0.00,22.70,49.80,60.00,450.00,43,30,27,826
329549,0.00,22.70,49.80,60.00,450.00,43,30,27,830
330549,0.00,22.70,49.80,60.00,450.00,43,30,27,803
331557,0.00,22.70,49.80,60.00,450.00,43,30,27,812
332557,0.00,22.70,49.80,60.00,450.00,43,30,27,777
333565,0.00,22.70,49.90,60.00,450.00,43,30,27,811
334566,0.00,22.70,49.90,60.00,450.00,43,30,27,815
335574,0.00,22.70,49.80,60.00,450.00,43,30,27,814
336574,0.00,22.70,49.80,60.00,450.00,43,30,27,823
337582,0.00,22.70,49.80,60.00,450.00,43,30,27,824
338582,0.00,22.70,49.80,60.00,450.00,43,30,27,796
